top - 23:28:07 up 0 min,  0 users,  load average: 2.88, 0.72, 0.24
Tasks:  93 total,   3 running,  90 sleeping,   0 stopped,   0 zombie
%Cpu(s): 40.3 us, 52.4 sy,  0.1 ni,  0.4 id,  4.2 wa,  1.2 hi,  1.4 si,  0.0 st
KiB Mem:    496632 total,   100776 used,   395856 free,    10720 buffers
KiB Swap:   102396 total,        0 used,   102396 free,    38332 cached

  PID USER      PR  NI  VIRT  RES  SHR S  %CPU %MEM    TIME+  COMMAND
 2258 root      20   0  6660 3688 2044 S   0.0  0.7   0:00.29 python
 2264 root      39  19 10520 6440 2860 S   0.0  1.3   0:01.13 python
 2266 root      20   0  3088 1416 1156 S   0.0  0.3   0:00.07 sudo
 2268 root      20   0  6660 3580 2012 S   0.0  0.7   0:00.24 python
 2269 root      20   0  6660 3484 1936 S   0.0  0.7   0:00.23 python
 2270 root      20   0  1760  512  444 S   0.0  0.1   0:00.00 sh
 2272 root      20   0  3088 1416 1156 S   0.0  0.3   0:00.04 sudo
 2277 root      20   0  1760  512  444 S   0.0  0.1   0:00.00 sh
 2278 root      20   0  3088 1416 1156 S   0.0  0.3   0:00.04 sudo
 2280 www-data  20   0 24500 4044  624 S   0.0  0.8   0:00.00 apache2
 2282 www-data  20   0 24500 4032  612 S   0.0  0.8   0:00.00 apache2
 2283 www-data  20   0 24500 4032  612 S   0.0  0.8   0:00.00 apache2
 2284 www-data  20   0 24500 4032  612 S   0.0  0.8   0:00.00 apache2
 2285 www-data  20   0 24500 4032  612 S   0.0  0.8   0:00.00 apache2
 2292 root      39  19  1760  512  444 S   0.0  0.1   0:00.00 sh
 2293 root      39  19  3088 1412 1156 S   0.0  0.3   0:00.05 sudo
 2314 root      20   0     0    0    0 S   0.0  0.0   0:00.01 kworker/u2:3
